Station:,,DLx Met,,,,,,,,DLx Met,,,,,,,,DLx Met,,,,,,,,DLx Met,,,,,,,,DLx Met,,,,,,,,DLx Met,,,,,,,,DLx Met,,,,,,,,DLx Met,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanal:,,Windgeschwindigkeit,,,,,,,,Windrichtung,,,,,,,,Lufttemperatur,,,,,,,,rel. Feuchte,,,,,,,,Globalstrahlung,,,,,,,,Niederschlag,,,,,,,,Taupunkttemperatur,,,,,,,,Verdunstung Haude,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME:,,m/s,,,,,,,,°,,,,,,,,°C,,,,,,,,%,,,,,,,,W/m²,,,,,,,,mm,,,,,,,,°C,,,,,,,,mm,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spalten-ID:,101,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19,5,8,9,10,12,14,16,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,00:10:00,0.4,gültig,,,,10,10,,1,gültig,,,,10,10,,16.5,gültig,,,16.5,10,10,,92.3,gültig,,,,10,10,,0,gültig,,0,0,10,10,,0.0,gültig,,0.0,0.0,10,,,15.3,gültig,,15.3,15.3,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,00:20:00,0.4,gültig,,,,10,10,,305,gültig,,,,10,10,,16.4,gültig,,,,10,10,,91.2,gültig,,,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,15.0,gültig,,15.0,15.0,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,00:30:00,0.4,gültig,,,0.6,10,10,,318,gültig,,,335,10,10,,16.5,gültig,,,,10,10,,89.9,gültig,,88.7,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,14.9,gültig,,14.9,14.9,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,00:40:00,0.3,gültig,,0.0,,10,10,,326,gültig,,,,10,10,,16.5,gültig,,,,10,10,,92.5,gültig,,,93.4,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,15.4,gültig,,15.4,15.4,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,00:50:00,0.2,gültig,,,,10,10,,344,gültig,,,,10,10,,16.4,gültig,,16.3,,10,10,,91.3,gültig,,,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,15.0,gültig,,15.0,15.0,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,01:00:00,0.2,gültig,,,,10,10,,359,gültig,,,,10,10,,16.3,gültig,,,,10,10,,91.8,gültig,,,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,15.0,gültig,,15.0,15.0,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,01:10:00,0.3,gültig,,0.0,0.5,10,10,,356,gültig,,,347,10,10,,16.2,gültig,,16.2,16.3,10,10,,90.4,gültig,,,,10,10,,0,gültig,,0,0,10,10,,0.0,gültig,,0.0,0.0,10,,,14.7,gültig,,14.7,14.7,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,01:20:00,0.3,gültig,,,,10,10,,351,gültig,,,,10,10,,16.2,gültig,,,,10,10,,90.1,gültig,,88.8,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,14.6,gültig,,14.6,14.6,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,01:30:00,0.2,gültig,,,,10,10,,342,gültig,,,,10,10,,16.2,gültig,,,,10,10,,91.0,gültig,,,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,14.8,gültig,,14.8,14.8,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2024,01:40:00,0.0,gültig,,,,10,10,,0,ungültig,,,,10,10,,16.2,gültig,,,,10,10,,91.6,gültig,,,,10,10,,0,gültig,,,,10,10,,0.0,gültig,,,,10,,,14.9,gültig,,14.9,14.9,10,10,,,kein Wert,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
